NAME,X,Y,Z
Black,0.03218917254343483,0.03334553469190679,0.03568804808937087
Blue,0.08073318538555753,0.061773370282969045,0.2770360087923126
Blue_flower,0.26118047774084124,0.24890153557044514,0.4615633464047798
Blue_sky,0.1837448311623225,0.1965331357641216,0.3570005336056297
Bluish_green,0.31992233451104823,0.4378762916674115,0.4462402016761769
Cyan,0.14278609610328563,0.19933089232311477,0.3793127551920928
Dark_skin,0.11444008423698188,0.10279344032708487,0.06997651436676051
Foliage,0.10808841993305753,0.13601598742984658,0.07501342981423906
Green,0.15171665387332225,0.23959201680768974,0.09822431823520007
Light_skin,0.3776288347733126,0.35438344714076764,0.2636984957941976
Magenta,0.2847592140232392,0.19021311352890727,0.29920431809260256
Moderate_red,0.27889529517191386,0.1892310769093463,0.14034178576489806
Neutral_3_5,0.08289246313792799,0.08725816660182617,0.09492145507374496
Neutral_5,0.18567197211220113,0.19546741601388348,0.21139274643790087
Neutral_6_5,0.33761955645251757,0.35610848210160284,0.3822785161664236
Neutral_8,0.5615856556356839,0.5917318391229437,0.6285876982473649
Orange,0.3677290677360955,0.2924170805224935,0.06230022499727725
Orange_yellow,0.46165342505422835,0.42469886202424545,0.0818686919901263
Purple,0.08325507591880035,0.06375242523663488,0.1442909794845003
Purplish_blue,0.13633666904414157,0.12145931685314475,0.37379938411969854
Red,0.19677762696675058,0.11673640726146538,0.05590330183363815
White,0.8462956426055381,0.896549121045913,0.9174936413746689
Yellow,0.5685957171531031,0.6019073130052613,0.09778861711231268
Yellow_green,0.3390070788923515,0.4393684930555549,0.11028456869512636
